x,y,u
0.616162,0.040404,0.0571521
0.626263,0.040404,0.0479954
0.636364,0.040404,0.0393951
0.646465,0.040404,0.0314001
0,0.0505051,0.105789
0.010101,0.0505051,0.139017
0.020202,0.0505051,0.170546
0.030303,0.0505051,0.19948
0.040404,0.0505051,0.225635
0.0505051,0.0505051,0.249207
0.0606061,0.0505051,0.270528
0.0707071,0.0505051,0.289928
0.0808081,0.0505051,0.307688
0.0909091,0.0505051,0.324027
0.10101,0.0505051,0.339112
0.111111,0.0505051,0.353062
0.121212,0.0505051,0.365962
0.131313,0.0505051,0.377872
0.141414,0.0505051,0.388832
0.151515,0.0505051,0.39887
0.161616,0.0505051,0.408001
0.171717,0.0505051,0.416237
0.181818,0.0505051,0.423584
0.191919,0.0505051,0.430043
0.20202,0.0505051,0.435616
0.212121,0.0505051,0.440304
0.222222,0.0505051,0.444107
0.232323,0.0505051,0.447029
0.242424,0.0505051,0.449071
0.252525,0.0505051,0.450238
0.262626,0.0505051,0.450538
0.272727,0.0505051,0.449979
0.282828,0.0505051,0.448573
0.292929,0.0505051,0.446333
0.30303,0.0505051,0.443276
0.313131,0.0505051,0.439421
0.323232,0.0505051,0.43479
0.333333,0.0505051,0.429406
0.343434,0.0505051,0.423296
0.353535,0.0505051,0.416491
0.363636,0.0505051,0.40902
0.373737,0.0505051,0.400919
0.383838,0.0505051,0.392224
0.393939,0.0505051,0.382973
0.40404,0.0505051,0.373207
0.414141,0.0505051,0.362968
0.424242,0.0505051,0.3523
0.434343,0.0505051,0.341248
0.444444,0.0505051,0.32986
0.454545,0.0505051,0.318183
0.464646,0.0505051,0.306268
0.474747,0.0505051,0.294162
0.484848,0.0505051,0.281917
0.494949,0.0505051,0.269584
0.505051,0.0505051,0.257212
0.515152,0.0505051,0.244854
0.525253,0.0505051,0.232558
0.535354,0.0505051,0.220375
0.545455,0.0505051,0.208353
0.555556,0.0505051,0.19654
0.565657,0.0505051,0.18498
0.575758,0.0505051,0.173719
0.585859,0.0505051,0.162797
